SampleID	Population
AFR___YRI___NA19095	African
AFR___YRI___NA19096	African
AFR___YRI___NA19098	African
AFR___YRI___NA19099	African
AFR___YRI___NA19102	African
AFR___YRI___NA19107	African
AFR___YRI___NA19108	African
AFR___YRI___NA19113	African
AFR___YRI___NA19114	African
AFR___YRI___NA19116	African
AFR___YRI___NA19117	African
AFR___YRI___NA19118	African
AFR___YRI___NA19119	African
AFR___YRI___NA19121	African
AFR___YRI___NA19129	African
AFR___YRI___NA19130	African
AFR___YRI___NA19131	African
AFR___YRI___NA19137	African
AFR___YRI___NA19138	African
AFR___YRI___NA19141	African
AFR___YRI___NA19143	African
AFR___YRI___NA19144	African
AFR___YRI___NA19146	African
AFR___YRI___NA19147	African
AFR___YRI___NA19149	African
AFR___YRI___NA19152	African
AFR___YRI___NA19153	African
AFR___YRI___NA19159	African
AFR___YRI___NA19160	African
AFR___YRI___NA19171	African
AFR___YRI___NA19172	African
AFR___YRI___NA19175	African
AFR___YRI___NA19184	African
AFR___YRI___NA19185	African
AFR___YRI___NA19189	African
AFR___YRI___NA19190	African
AFR___YRI___NA19197	African
AFR___YRI___NA19198	African
AFR___YRI___NA19200	African
AFR___YRI___NA19201	African
AFR___YRI___NA19204	African
AFR___YRI___NA19206	African
AFR___YRI___NA19207	African
AFR___YRI___NA19209	African
AFR___YRI___NA19210	African
AFR___YRI___NA19213	African
AFR___YRI___NA19214	African
AFR___YRI___NA19222	African
AFR___YRI___NA19223	African
AFR___YRI___NA19225	African
AFR___YRI___NA19235	African
AFR___YRI___NA19236	African
AFR___YRI___NA19238	African
AFR___YRI___NA19239	African
AFR___YRI___NA19247	African
AFR___YRI___NA19248	African
AFR___YRI___NA19256	African
AFR___YRI___NA19257	African
AMR___CLM___HG01112	American
AMR___CLM___HG01113	American
AMR___CLM___HG01119	American
AMR___CLM___HG01121	American
AMR___CLM___HG01122	American
AMR___CLM___HG01124	American
AMR___CLM___HG01125	American
AMR___CLM___HG01130	American
AMR___CLM___HG01131	American
AMR___CLM___HG01133	American
AMR___CLM___HG01134	American
AMR___CLM___HG01136	American
AMR___CLM___HG01137	American
AMR___CLM___HG01139	American
AMR___CLM___HG01140	American
AMR___CLM___HG01142	American
AMR___CLM___HG01148	American
AMR___CLM___HG01149	American
AMR___CLM___HG01250	American
AMR___CLM___HG01251	American
AMR___CLM___HG01253	American
AMR___CLM___HG01254	American
AMR___CLM___HG01256	American
AMR___CLM___HG01257	American
AMR___CLM___HG01259	American
AMR___CLM___HG01260	American
AMR___CLM___HG01269	American
AMR___CLM___HG01271	American
AMR___CLM___HG01272	American
AMR___CLM___HG01275	American
AMR___CLM___HG01277	American
AMR___CLM___HG01280	American
AMR___CLM___HG01281	American
AMR___CLM___HG01284	American
AMR___CLM___HG01341	American
AMR___CLM___HG01342	American
AMR___CLM___HG01344	American
